	clusterAT1-like_names	clusterAT1-like_logfoldchanges	clusterAT1-like_pvals_adj	clusterAT1-like_percent_expressed	clusterAT1-like_auroc	clusterAT1-like_auprc	clusterAT2_names	clusterAT2_logfoldchanges	clusterAT2_pvals_adj	clusterAT2_percent_expressed	clusterAT2_auroc	clusterAT2_auprc	clusterAT2-like_names	clusterAT2-like_logfoldchanges	clusterAT2-like_pvals_adj	clusterAT2-like_percent_expressed	clusterAT2-like_auroc	clusterAT2-like_auprc	clusterCiliated cell_names	clusterCiliated cell_logfoldchanges	clusterCiliated cell_pvals_adj	clusterCiliated cell_percent_expressed	clusterCiliated cell_auroc	clusterCiliated cell_auprc	clusterClub cell_names	clusterClub cell_logfoldchanges	clusterClub cell_pvals_adj	clusterClub cell_percent_expressed	clusterClub cell_auroc	clusterClub cell_auprc	clusterEarly EMT_names	clusterEarly EMT_logfoldchanges	clusterEarly EMT_pvals_adj	clusterEarly EMT_percent_expressed	clusterEarly EMT_auroc	clusterEarly EMT_auprc	clusterEarly gastric_names	clusterEarly gastric_logfoldchanges	clusterEarly gastric_pvals_adj	clusterEarly gastric_percent_expressed	clusterEarly gastric_auroc	clusterEarly gastric_auprc	clusterEndoderm-like_names	clusterEndoderm-like_logfoldchanges	clusterEndoderm-like_pvals_adj	clusterEndoderm-like_percent_expressed	clusterEndoderm-like_auroc	clusterEndoderm-like_auprc	clusterGastric-like_names	clusterGastric-like_logfoldchanges	clusterGastric-like_pvals_adj	clusterGastric-like_percent_expressed	clusterGastric-like_auroc	clusterGastric-like_auprc	clusterHigh-plasticity cell state_names	clusterHigh-plasticity cell state_logfoldchanges	clusterHigh-plasticity cell state_pvals_adj	clusterHigh-plasticity cell state_percent_expressed	clusterHigh-plasticity cell state_auroc	clusterHigh-plasticity cell state_auprc	clusterLate gastric_names	clusterLate gastric_logfoldchanges	clusterLate gastric_pvals_adj	clusterLate gastric_percent_expressed	clusterLate gastric_auroc	clusterLate gastric_auprc	clusterNeuronal-like_names	clusterNeuronal-like_logfoldchanges	clusterNeuronal-like_pvals_adj	clusterNeuronal-like_percent_expressed	clusterNeuronal-like_auroc	clusterNeuronal-like_auprc	clusterPre-EMT_names	clusterPre-EMT_logfoldchanges	clusterPre-EMT_pvals_adj	clusterPre-EMT_percent_expressed	clusterPre-EMT_auroc	clusterPre-EMT_auprc
65	Zdhhc14	530.0263	1.7804536659078573e-236	0.40554383850557396	0.6691763315046797	0.2272950739760412	Neat1		0.0	0.9913812154696132	0.6605812161871791	0.26985120461489276	Macf1		1.0634847069537576e-142	0.9205002233139794	0.6590044541363772	0.050686591632769534	Appl2	inf	2.5589829253184903e-206	0.8678929765886287	0.8656299968158621	0.12853655590637655	Sulf2	360.85785	1.295656472729325e-50	0.39196675900277006	0.6654733128891526	0.06268421666520733	Cdkn2a	355.55847	0.0	0.5770789288231148	0.7067938380469955	0.35939465389432984	Selenbp1	226.7036	2.241321642652846e-130	0.6088587247722808	0.5984605863220446	0.09735205704557648	Ndrg1	413.36682	0.0	0.491160809371672	0.633712904541191	0.21650878197454815	Kctd8	251.19109	0.0	0.40194174757281553	0.6579841029402508	0.3617471046245073	Sept9	297.7534	8.662481367064644e-78	0.6420722135007849	0.626919174715888	0.04351916930895003	Trerf1	165.89238	2.870401472356818e-74	0.40272217774219377	0.589694874308849	0.07560909379837627	Apbb2	inf	5.664421857994563e-141	0.8026837450442208	0.6315690717418253	0.07097378047721264	Shisa6	490.4654	4.748107600921668e-81	0.47549019607843135	0.6148340742977246	0.09103640945635441
66	Cog7	589.43713	7.675335002602937e-232	0.5055739680626695	0.66750602670906	0.17311635434945308	Gramd1b		0.0	0.7902025782688766	0.6588006360917327	0.34322198519571157	Rps15	251.56575	3.9628621945972942e-140	0.4711924966502903	0.6575613436405082	0.06873829264835131	Tppp3	648.31934	4.561043957256737e-205	0.7424749163879598	0.8645168900732115	0.34267833009941046	Mgat3	355.0837	6.788499076817937e-50	0.4196675900277008	0.6642946919907693	0.0712475790241645	Epb41l2	322.43085	0.0	0.5519732205778718	0.7067399130992211	0.34411321427657754	Cux1		4.440663410754805e-128	0.8971244865154492	0.597591101210968	0.09876761563331474	Krt7	427.23737	0.0	0.5850905218317359	0.6337012161665795	0.21195762289014752	Cers6	251.27434	0.0	0.6026933917945506	0.6578943979316034	0.31001872196629493	Hs2st1	415.51126	2.4928232303774607e-77	0.63003663003663	0.6265432617278133	0.04412370095189513	Olfr721-ps1	128.23326	7.831067239000424e-73	0.19749132639444889	0.5888250486084756	0.11995864294196523	Nav1	242.17268	1.8169453566549896e-140	0.48703873132052455	0.6313306680160877	0.08286921540235043	Rpl23	300.68088	4.412404854858152e-79	0.4011437908496732	0.613431775484872	0.0682327954378493
67	Diaph2	inf	2.592253039530268e-230	0.6294064477252185	0.6669489564038178	0.139715226485285	Cadps2	inf	0.0	0.6881767955801105	0.6566368916360311	0.3285871329078778	Eif1	241.4346	6.330127774809328e-140	0.5154086645824029	0.6574442159940139	0.062197803691014936	C330002G04Rik	807.2397	1.180127427110015e-200	0.7842809364548495	0.8605779292044556	0.15990972024452596	Hs6st3	770.1108	1.3769294545687878e-49	0.3808864265927978	0.6637754570380567	0.15051817216122776	Dlg1	inf	0.0	0.8703312191684285	0.7050244394201566	0.3660688509793586	Itga9		3.3667625594887386e-126	0.8683693516699411	0.5968711014392218	0.09056131711785217	2610035D17Rik	305.79068	0.0	0.5400425985090522	0.6336999317117363	0.20857806965094447	Pfkfb3	222.88539	0.0	0.46601941747572817	0.6576006195594494	0.34207310668360935	Hpcal1	inf	8.291438302026238e-77	0.7462061747776033	0.6261150295337281	0.04629415618729357	Krt18	300.07376	4.11137437611701e-72	0.5060048038430744	0.5883856215380323	0.07083939990007321	Pdgfd	241.54941	2.1135030292847965e-139	0.3455321744434279	0.6308307139242008	0.10589794662215014	H3f3b	279.11615	5.558717641730012e-79	0.5388071895424836	0.613357566802571	0.05565867107991956
68	Bend7	inf	1.298393921858658e-227	0.805664356733956	0.6659672007918553	0.10200075597722352	Pi4k2b	579.0314	0.0	0.6423572744014733	0.6552644721252571	0.38260773999612957	Rpl38	236.39995	3.395707215484125e-139	0.4466279589102278	0.6570317070446063	0.0660870707292269	Nek10	848.4283	2.0745552410914275e-198	0.7775919732441472	0.8585546920012836	0.15072548994875298	Slc4a5	359.72253	1.601536021676801e-49	0.389196675900277	0.6636621496904285	0.08874431659035233	Csgalnact1	328.28043	0.0	0.454369274136716	0.7043839202975903	0.3933134247076074	Slc34a2	inf	3.796195071423101e-125	0.7040542954098946	0.5964638796114856	0.09273447791401224	Arhgef28	273.0021	0.0	0.6504792332268371	0.6332499695825962	0.18302274034197072	Thrb	299.17578	0.0	0.6717820231756968	0.6568688326258904	0.29729261474267443	Synpr	361.21048	9.377416975030724e-77	0.31815803244374674	0.6260679009551211	0.06258803991261032	Prss48	227.36794	6.7720637084164914e-71	0.63063784360822	0.5876352449679012	0.07051918201127037	Prkce	235.612	2.16588590478766e-139	0.5336992985666361	0.630822825518163	0.07429839670201616	Tgfbi	287.34244	1.807651527662169e-78	0.32802287581699346	0.6129863923457501	0.07989941503114188
69	Spag9	inf	6.5582217169215885e-226	0.7933112383247967	0.665343311573334	0.10904809046755062	Pmvk	485.3786	0.0	0.456353591160221	0.6534398347020144	0.3707169896732838	Spag9	inf	6.82356364475273e-139	0.8722644037516748	0.656858208185525	0.05259931442539928	Togaram2	654.67645	3.183781097554984e-198	0.7909698996655519	0.8583813765861913	0.09794724026225886	Kcnq1	inf	2.4827092660125185e-49	0.832409972299169	0.6633448362975282	0.026484961819814197	Zfhx4	325.05612	0.0	0.4299682875264271	0.7022414345715926	0.43600003410424204	Atp11a		3.1822778441284724e-124	0.8255045543847116	0.5961067993407897	0.09491954424865656	Gm38304	278.75327	0.0	0.5128860489882854	0.6325467379567062	0.19222769608707274	Elfn1	233.20409	0.0	0.4514249921703727	0.6566417937552221	0.34454157637031735	Stk39		9.652877264787273e-77	0.8906331763474621	0.6260539300898772	0.037698653331374996	Spon1	185.41896	2.3704730643433593e-70	0.3586869495596477	0.5872961694971178	0.0801000785521552	Zeb2	288.93784	2.8073102745149156e-139	0.3684050015248551	0.6307672925167924	0.08736260949352426	Adgrg1	240.16592	3.24411587912442e-78	0.43218954248366015	0.6128018805435586	0.07137340365539684
70	Sema3e	672.4355	7.685201216850542e-225	0.4043386562217535	0.6649509041366403	0.22264555842205314	Secisbp2l	538.17615	0.0	0.6349907918968692	0.652772574462433	0.37326731622917414	Cd9	367.6898	2.0375323053049355e-136	0.6337650736936132	0.6554566579104067	0.06326810762504813	Ppil6	576.6817	6.986021634723226e-198	0.7408026755852842	0.8580679650175935	0.2371209614432749	Kitl	380.1965	5.203700973210187e-49	0.3781163434903047	0.6628000215956467	0.08329676980916516	Nnat	inf	0.0	0.7536997885835095	0.7012874946207626	0.372841934042203	Usp50		4.133508237950658e-124	0.8235399178424718	0.5960608958507605	0.1092556774893945	Dock1	379.81067	0.0	0.7724174653887114	0.6294546703057691	0.1925295205590713	Mob3b	369.13998	0.0	0.6993423113059818	0.6564758324104092	0.3181789905389393	S100a14	178.85748	9.652877264787273e-77	0.4207221350078493	0.6260506375006872	0.044548551888660144	Dapk1	244.57167	9.832067830170025e-70	0.7048305310915399	0.5869102742739385	0.06662208479381333	Sema6a	250.4972	3.1095305893021073e-138	0.28636779505946935	0.6302752827770856	0.1606534553638047	Calm1	340.04858	1.217078481133429e-76	0.43995098039215685	0.6116575843147829	0.06713574196690189
71	Tjp2	inf	9.828305620259326e-225	0.7833684844832781	0.6649106838898972	0.12919069802995684	Pde7a		0.0	0.8086924493554328	0.6507290076942824	0.31589762249410236	Eif4h	423.0489	7.938859930291079e-135	0.7427422956677088	0.6545481686281578	0.049479533757964725	Pacrg	inf	3.478226175794399e-197	0.8461538461538461	0.8574328086433199	0.05569115196771171	Atp8a1	inf	1.720560611515162e-48	0.817174515235457	0.661921642059929	0.03501362010103411	Gli3	368.13144	0.0	0.49110288935870333	0.700599420367802	0.3500783358287091	Gclc		1.790289895957958e-122	0.765672441507412	0.5954261928774391	0.09524984825908879	Clic5	269.29074	0.0	0.5600638977635782	0.628739218267954	0.17915098506230365	Plxna4		0.0	0.9189476980895709	0.6564571411080872	0.29794836158604754	Col4a2	inf	1.0167489572840639e-76	0.8095238095238095	0.6260287883279749	0.04271620350745538	Fgfr2		1.2889401536445114e-69	0.9743795036028823	0.5868352622066686	0.07601963468169813	9630028H03Rik	334.7734	4.283154744506637e-136	0.3150350716681915	0.6292648093795515	0.1562100324741189	Clip4	413.75635	1.7363889998266102e-76	0.6004901960784313	0.6115417431059681	0.05086860652196414
72	Ostf1	526.6819	2.2947564670828423e-214	0.5278698403133474	0.6610559489816092	0.13535452079959445	Bmp1	inf	0.0	0.5908655616942909	0.6490354294192336	0.35316829766471003	Anxa3	inf	3.91549794576695e-134	0.8602054488610987	0.6541489768381119	0.048600902450098175	Jazf1	703.1056	7.759560682680674e-197	0.7575250836120402	0.857112212073585	0.18780713204526914	Zfp608	inf	4.092451733918376e-48	0.7299168975069252	0.6612936365808825	0.026750331302096877	Krt8	462.84842	0.0	0.6129316420014095	0.6993812918728688	0.2740793495994845	Rap1gap	195.5069	2.1727047177484573e-122	0.48365779603500625	0.5953914636575462	0.11047422092793117	Atp8a1	inf	0.0	0.8085197018104366	0.6273900012443259	0.18113818488782174	Lamb3	266.75452	0.0	0.6421547134356405	0.6557350088173239	0.31253727036212475	Ctsh		1.0719745541848806e-76	0.8759811616954474	0.6260066312673847	0.041232073639001686	Adk	inf	5.065441792465682e-69	0.7718174539631706	0.5864620026300266	0.07018302467896947	Pcdh17	272.77228	2.0022899455888526e-135	0.2689844464775846	0.6289448856694323	0.22115331426070153	Samd5	293.32928	1.7363889998266102e-76	0.4199346405228758	0.6115406861970221	0.07202177629084461
73	Pias1	546.6084	3.871021140466731e-211	0.5953600482072914	0.6598347968626549	0.1473188388339062	Foxo3	inf	0.0	0.6626151012891345	0.6488013752453824	0.3717313527808245	Myl6	234.41211	4.3135206173659647e-129	0.4439481911567664	0.6512326369537693	0.07005210707998262	Wdr63	588.9148	1.0217615338534038e-196	0.717391304347826	0.8569987072454915	0.518460299832314	Atp6v1c2	488.01053	5.452408804544146e-48	0.5914127423822715	0.6610813020258332	0.026614540281661693	Gm20388		0.0	0.9928646934460887	0.6992818761458235	0.31999102369631816	Plxna4		6.49572612438926e-121	0.8919449901768173	0.5948151933751288	0.09437375319663749	Il34	290.837	0.0	0.6355697550585729	0.6272895843408738	0.19405615665337403	Lama5	395.51242	0.0	0.7302849984340746	0.655040731530266	0.3360095603208788	Wnt7a	168.79424	2.2208087994011027e-76	0.31920460491889063	0.6257415905153089	0.061170888106701266	Rpl37	227.89043	4.343895060352983e-68	0.3159861222311182	0.5858752961619453	0.0827452262646016	Sox5	403.2918	4.6119432411256664e-135	0.4900884415980482	0.6287702196619834	0.07174441192806566	Crlf1	208.73149	2.838200714892817e-76	0.3206699346405229	0.6113834004832313	0.07026107960894254
74	Dpysl2	495.9058	9.561388296271274e-209	0.44652003615546854	0.6589241376464506	0.18212345999022006	Snx25	inf	0.0	0.6997421731123389	0.6448935608102255	0.31993813394205584	Ereg	342.3202	3.2197645622674783e-128	0.39035283608753907	0.6507164634842278	0.0981346613824574	Dnah7a	622.0277	1.5781769656010732e-196	0.7307692307692307	0.8568224928188641	0.301664642289857	Alcam		1.0510749426753822e-46	0.9265927977839336	0.65891826636306	0.018767549669574734	Runx1	inf	0.0	0.8077871740662438	0.6990624334469472	0.29599843325532527	Dapk1	283.92825	1.319512969201135e-119	0.6986961957492409	0.5943013215616604	0.10386498478692595	Neu2	224.68718	0.0	0.4519701810436635	0.6264283647692557	0.20651114882245025	Dpp4	303.12234	0.0	0.7039148136548701	0.6547565432033529	0.2965760559327565	Bri3		1.5049102883626347e-75	0.9105180533751962	0.6250538486843222	0.04373423034315731	Arid4b	208.33652	1.6774424673360752e-66	0.6749399519615693	0.5848716815974477	0.07180808647995293	Plekhg1	219.77774	2.2682410239992663e-133	0.39066788655077767	0.6279618323368572	0.10578222318966743	Atp11c	312.13586	2.1979477026541286e-75	0.5339052287581699	0.6107288718716862	0.05809073045381528
